name,year,latitude,longitude,city,region,zipCode,cuisine,price,stars
aend,2019,48.18957,16.34115,Wien,Austria,1010,Modern cuisine,$$$$$,2
Le Ciel by Toni Mörwald,2019,48.20209,16.37156,Wien,Austria,1010,Classic cuisine,$$$$$,2
Chez TJ,2019,37.39468,-122.08044,South San Francisco,California,94041,Contemporary,$$$$,2
Protégé,2019,37.427853,-122.14362,South San Francisco,California,94301,Contemporary,$$$,2
Madera,2019,37.42014,-122.21151,San Francisco,California,94025,Contemporary,$$$,2
The Village Pub,2019,37.42897,-122.25178,San Francisco,California,94062,Contemporary,$$$,2
Plumed Horse,2019,37.25648,-122.03537,South San Francisco,California,95070,Contemporary,$$$$,2
Wakuriya,2019,37.52114,-122.3366,San Francisco,California,94402,Japanese,$$$$,2
Sushi Yoshizumi,2019,37.565075,-122.3211,San Francisco,California,94401,Japanese,$$$$,2
Rasa,2019,37.577522,-122.345985,San Francisco,California,94010,Indian,$$,2
Maum,2019,37.72669,-122.414215,South San Francisco,California,94101,Korean,$$$$,2
Al's Place,2019,37.748924,-122.42013,San Francisco,California,94110,Californian,$$,2
Aster,2019,37.755054,-122.423134,San Francisco,California,94110,Californian,$$$,2
Omakase,2019,37.77077,-122.40298,San Francisco,California,94103,Japanese,$$$$,2
Commonwealth,2019,37.761395,-122.41946,San Francisco,California,94110,Contemporary,$$,2
Luce,2019,37.78194,-122.40498,San Francisco,California,94103,Contemporary,$$$,2
Birdsong,2019,37.779495,-122.41048,San Francisco,California,94101,American,$$$$,2
In Situ,2019,37.785633,-122.40113,San Francisco,California,94103,International,$$$$,2
Mourad,2019,37.78695,-122.39987,San Francisco,California,94105,Moroccan,$$$,2
Hashiri,2019,37.783062,-122.40754,San Francisco,California,94103,Japanese,$$$$,2
Angler,2019,37.793167,-122.39213,San Francisco,California,94101,Contemporary,$$$$,2
Rich Table,2019,37.774914,-122.42271,San Francisco,California,94102,Contemporary,$$$,2
Kin Khao,2019,37.785267,-122.40951,San Francisco,California,94102,Thai,$$,2
Michael Mina,2019,37.79349,-122.399574,San Francisco,California,94102,Contemporary,$$$$,2
Sons & Daughters,2019,37.79037,-122.40917,San Francisco,California,94108,Contemporary,$$$$,2
Mister Jiu's,2019,37.79371,-122.406654,San Francisco,California,94108,Chinese,$$$,2
Nico,2019,37.795803,-122.40333,San Francisco,California,94101,Contemporary,$$$,2
jū-ni,2019,37.77672,-122.43886,San Francisco,California,94117,Japanese,$$$$,2
Keiko à Nob Hill,2019,37.793106,-122.41445,San Francisco,California,94109,Fusion,$$$$,2
The Progress,2019,37.78371,-122.43282,San Francisco,California,94115,Californian,$$$,2
State Bird Provisions,2019,37.783737,-122.43283,San Francisco,California,94115,American,$$,2
Octavia,2019,37.787857,-122.42709,San Francisco,California,94109,Californian,$$$,2
SPQR,2019,37.78732,-122.43375,San Francisco,California,94115,Italian,$$$,2
Lord Stanley,2019,37.79592,-122.42208,San Francisco,California,94109,Californian,$$$,2
Kinjo,2019,37.79699,-122.422005,San Francisco,California,94109,Japanese,$$$$,2
Sorrel,2019,37.788334,-122.44614,San Francisco,California,94101,Californian,$$$,2
Gary Danko,2019,37.80599,-122.42066,San Francisco,California,94109,Contemporary,$$$$,2
Bar Crenn,2019,37.798435,-122.43581,San Francisco,California,94101,French,$$$,2
Spruce,2019,37.78772,-122.45264,San Francisco,California,94118,Californian,$$$,2
Wako,2019,37.783035,-122.461525,San Francisco,California,94118,Japanese,$$$$,2
Madcap,2019,37.974712,-122.56168,San Francisco,California,94960,Contemporary,$$$$,2
Aubergine,2019,36.55406,-121.924355,Monterey,California,93921,Contemporary,$$$$,2
Kenzo,2019,38.29924,-122.28928,San Francisco,California,94559,Japanese,$$$$,2
La Toque,2019,38.30351,-122.28349,San Francisco,California,94573,Contemporary,$$$$,2
Bouchon,2019,38.40258,-122.3619,San Francisco,California,94599,French,$$$,2
